Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,5.204765,1.016353804398832,8.239999999999998,5.30306413312153,6.16,0.040179391842780084,-0.3941649240414309,1.5831646577703316,24279.79591836736,242.4063023276233,24489.795918371154,24281.005888974727,489.79591837490443,-0.28793846909864745,-1.917091438013136,1.0086491666037822,1917.4886321899614,534856.3777551132,101.87833676749956,86.173153191479,147.91456483928528,294.8928447401477,452057865.15140754,3820.148143146316,3820.148143146316,3820.148143146316,F8-trytytka-01.CSV
2,5.16494,1.021691165275655,8.399999999999999,5.265015935398487,6.32,0.05081139269295096,-0.3864857574397087,1.626349967279387,24266.295918367345,243.96896894652443,24489.795918371154,24267.5222207692,489.79591837490443,-0.1754208987615959,-1.9692275082776782,1.0092103055511918,1970.8116239357616,548116.3039178099,95.2053957133945,21.47845426340864,78.79067858692865,321.38539589893685,458067503.68826544,2757.8698186691195,2757.8698186691195,2757.8698186691195,F8-trytytka-01.CSV
3,5.14295,1.0173119385044926,8.32,5.242594167013121,6.16,0.05414820056319477,-0.3780790847283044,1.6177485684286257,24263.663265306106,244.1855858983661,24489.795918371154,24264.891879541996,489.79591837490443,-0.153701886183393,-1.976375730183671,1.0093198067658804,1941.9842236290249,538617.1424333571,123.24261197755928,33.834087404818376,323.9939581593699,314.2885318882981,455136191.47620887,2474.780788040369,2474.780788040369,2474.780788040369,F8-trytytka-01.CSV
4,5.098355000000001,1.017023372400434,8.399999999999999,5.198797514810517,6.479999999999997,0.05872379506480136,-0.38063823728761514,1.6475902521499577,24268.530612244886,243.76263430921293,24489.795918371154,24269.75472858324,489.79591837490443,-0.19390495744527578,-1.9624008674781557,1.009117375487687,1964.823741552031,540893.5669204374,99.26489053531263,69.00769283144282,78.15444436158951,323.6432301329266,457934813.8707744,2100.3194782468186,2100.3194782468186,2100.3194782468186,F8-trytytka-01.CSV
5,5.0599300000000005,1.0145915100895395,8.239999999999998,5.160641743039329,6.239999999999998,0.056603020864157326,-0.3789860784885719,1.6284810264173613,24263.632653061235,244.18793662292063,24489.795918371154,24264.861292501904,489.79591837490443,-0.1534496717842078,-1.976453198229325,1.0093210801755763,1993.4976872805526,559499.6736026596,123.34877800683046,138.89471904350862,93.25971606081818,346.87709887367794,462404197.63821054,3220.0184100569177,3220.0184100569177,3220.0184100569177,F8-trytytka-01.CSV
6,5.02129,1.0160043565129429,8.079999999999998,5.123041440394563,6.079999999999998,0.047799144915465996,-0.3795412603997006,1.6091482467652733,24268.928571428576,243.72372200048528,24489.795918371154,24270.152276926277,489.79591837490443,-0.19720167605758968,-1.961111498960086,1.0091008280935236,1996.8937583221045,538442.996239561,114.36773541461507,93.05562314104668,91.45349825239394,319.4533289463667,456484465.2850878,3085.8278672659635,3085.8278672659635,3085.8278672659635,F8-trytytka-01.CSV
7,4.98521,1.0146794588934316,8.16,5.0874186774827175,6.16,0.057962355414286924,-0.376803759635159,1.6368417779792626,24271.43877551021,243.46313914952526,24489.795918371154,24272.65973948511,489.79591838343185,-0.21803420311248511,-1.9524610862731087,1.0089964647287932,1973.9433813386524,536626.3804429392,55.91617334821078,94.68931243010505,143.62818039538755,317.8735642188766,456489291.14499795,2920.3950643449234,2920.3950643449234,2920.3950643449234,F8-trytytka-01.CSV
8,4.964855000000001,1.009602166701537,8.16,5.0664601054385106,6.559999999999999,0.06265076539818891,-0.3715727032774301,1.6435525307385617,24275.877551020403,242.93818964381214,24489.795918371154,24277.093033298665,489.79591838343185,-0.2550489080357731,-1.9349500545097658,1.0088119725806475,1936.6376736630416,537350.5791128041,63.59787211773676,48.80750633073406,243.20879313883745,334.2316052905816,461132717.8586688,3570.0903987760094,3570.0903987760094,3570.0903987760094,F8-trytytka-01.CSV
1,5.0802,1.008123940603276,8.0,5.179255004341841,6.239999999999998,0.034592236948361346,-0.38916888012045625,1.5747411519231527,24299.38775510205,238.7664876880902,24489.795918371154,24300.560716686283,489.79591837490443,-0.45644176728469177,-1.791660913078042,1.0078359243116783,1987.2743037348455,552309.4275925192,104.40110311735769,197.03019527492577,235.33720086678704,334.05813459722174,462420141.6362554,3563.1248982650845,3563.1248982650845,3563.1248982650845,F8-trytytka-02.CSV
2,5.039985,1.0141084142078853,8.079999999999998,5.140992161052184,6.239999999999998,0.0144899333572643,-0.3877443632336717,1.6031793745417888,24288.612244897962,240.97240686045777,24489.795918371154,24289.807509625185,489.79591837490443,-0.36282703417631307,-1.868356543270824,1.0082830452166098,1946.9688898527368,537426.3310498602,163.76832507486117,81.43028165134517,76.70390027408068,326.10290092625075,459362461.10884935,3053.703878737677,3053.703878737677,3053.703878737677,F8-trytytka-02.CSV
