Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,5.204766587735125,0.8567603174196022,7.601982447836273,5.274802528960557,4.984876475704745,-0.004908142661247763,-0.5676072333373874,1.460580857890941,24279.79575016525,241.03087849257582,24522.528839186012,24280.991954451616,555.2617600046324,-0.28930287440565494,-1.8871944758184578,1.009997328293798,1196.0146839459962,234997.63025759102,50.9313829173966,43.08078013821462,73.9618663051406,129.2578583705941,220832820.36449763,583.899845681628,583.899845681628,583.899845681628,F8-trytytka-01.CSV
2,5.164950335367451,0.8630889919254938,7.691857539542881,5.2365581692051615,5.135823139700113,0.01512941175920244,-0.5473166660072053,1.4892413363342933,24266.296022432183,242.5142917481467,24522.528839186012,24267.507669275852,555.2617600046324,-0.1758948502251191,-1.9388410613112448,1.0105592059256578,1198.2565226560234,238533.67139995817,47.55773182627261,10.664871901390061,39.45974590008083,141.53527240202243,223312836.298901,258.87768553103405,258.87768553103405,258.87768553103405,F8-trytytka-01.CSV
3,5.142916055486212,0.8584019662607808,7.588048100256433,5.2140528749444295,4.9782353285446135,0.022122125250224906,-0.5323081836704673,1.4754368957980315,24263.678400582343,242.7164444253674,24522.528839186012,24264.89219912942,555.2617600046324,-0.15406066501953775,-1.9458442656203532,1.0106682273944687,1197.4254779498322,235595.75595646788,61.86655974434851,16.710400345099632,162.06008613332173,137.4927559497812,221995814.88088736,838.2494983612579,838.2494983612579,838.2494983612579,F8-trytytka-01.CSV
4,5.098430719564788,0.8584886017196214,7.589961021884004,5.170194034671186,4.992617042641735,0.03173155203605801,-0.5416477803117044,1.4886857229927994,24268.531078467284,242.3161191939122,24522.528839186012,24269.740634553884,555.2617600046324,-0.19447602869489905,-1.9320628093617678,1.0104661365740464,1197.181547801789,235658.63098290842,50.228148238108304,34.874100332449636,39.661886075704444,140.91960873644294,223155206.85894457,796.6203191114678,796.6203191114678,796.6203191114678,F8-trytytka-01.CSV
5,5.059982250022124,0.8554063487275868,7.559773300572096,5.131768596398296,4.935703234890489,0.028100933289236223,-0.5333927651680539,1.4940315849011212,24263.61723945632,242.7408396983864,24522.528839186012,24264.83128506584,555.2617600046324,-0.15394216595548454,-1.9462947495647265,1.0106707749786237,1220.5480179377373,243262.00338910625,61.55515774156064,69.07215092750238,46.23126240761687,149.0866282949627,224857825.5692058,1199.8710196773516,1199.8710196773516,1199.8710196773516,F8-trytytka-01.CSV
6,5.021226938168833,0.8581564670703926,7.503496397896329,5.094022029055415,4.8977622107359196,0.009745442836176631,-0.5504179583684885,1.4943551626512908,24268.94362408826,242.28097932275764,24522.528839186012,24270.15280884335,555.2617600046324,-0.19639647900547505,-1.9314000196912446,1.010448959749779,1201.669222252941,233395.56049956058,56.80523998648622,46.068439565510715,45.220539260658164,139.49758492079965,222553802.5828272,740.6810948112768,740.6810948112768,740.6810948112768,F8-trytytka-01.CSV
7,4.985166067805998,0.8565460185503814,7.377904439198677,5.058207201826907,4.916787718888046,0.03154946248532818,-0.5416663642416673,1.4799716476538038,24271.438535594498,242.04515581744516,24522.528839186583,24272.64524359395,555.2617600143021,-0.2183149409285858,-1.922697669585642,1.0103450936055502,1198.5445634108946,233433.81843170768,28.31174739676717,47.56942306809452,72.15814435654801,137.94914881636524,222546480.30874413,1501.0956107271859,1501.0956107271859,1501.0956107271859,F8-trytytka-01.CSV
8,4.964897368163269,0.8511160566687505,7.367115767712168,5.037312167068484,5.2044188770372894,0.038527730610509126,-0.5258711494194186,1.483840494861545,24275.877871247325,241.53606183664442,24522.528839186583,24277.079288835885,555.2617600143021,-0.2544482791284654,-1.9057789611196418,1.0101603315541225,1211.5976712920312,235860.3857900246,32.12443282659807,24.252860117422003,121.94037126030217,145.89589716332168,224525696.42200154,684.8520627221478,684.8520627221478,684.8520627221478,F8-trytytka-01.CSV
1,5.080124922016108,0.8499773476878714,7.510657522535485,5.150732026342006,5.217610857335869,-0.01601475775631178,-0.5459428269646018,1.4784395340331098,24299.387122938904,237.5016680143071,24522.528839186012,24300.547618148,555.2617600046324,-0.4574491837058055,-1.762723040063874,1.009183018284295,1214.1494657709352,240309.87530522008,52.64335062204435,98.93873865265297,118.05918947546213,147.0803313743385,225204396.05756542,1412.9171811761046,1412.9171811761046,1412.9171811761046,F8-trytytka-02.CSV
2,5.0399889752569695,0.8572901085752167,7.334311646696343,5.112371595715771,4.9509901341973634,-0.04166045263213089,-0.544249950063485,1.455223748048456,24288.59655773204,239.6471200795704,24522.528839186012,24289.778638505384,555.2617600046324,-0.36232769131092657,-1.8401029082296922,1.00963136263958,1198.6333729810035,234921.21666964717,81.91323908377636,40.69014730377221,38.35323387914314,142.46252801908503,223840773.5057248,832.9042499531744,832.9042499531744,832.9042499531744,F8-trytytka-02.CSV
