Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,3.656821251048143,0.7708439778543634,5.975754687076805,3.7371737750948735,4.820062679542747,-0.11983012034367398,-0.31839961989546417,1.6341391270803824,21374.67190704032,135.21425292156738,21844.219368831295,21375.099525907477,816.7117422636838,-1.7907147365305653,2.1223923568877385,1.0219674699023715,1397.8496188013798,212340.61733703467,47.0887863377827,306.0901193187232,195.08503951572163,91.05358627457301,189187921.20724404,3.0712033883305465,3.0712033883305465,3.0712033883305465,F3-trytytka-01.CSV
2,3.5905102717672825,0.7669122299786002,5.890306696575213,3.671490822657882,4.711616757525761,-0.10363208604929586,-0.36149442769994833,1.6405207758049247,21429.002050580995,95.822572982463,21844.219368831295,21429.216264286282,816.7117422636838,0.1998753722032046,12.945904872841988,1.0193764188024352,1382.883687037126,212547.49134329567,136.1581065956257,330.72002934588477,100.06950698063552,64.46141427288975,184551095.5688517,4.96849557204776,4.96849557204776,4.96849557204776,F3-trytytka-01.CSV
3,3.564898293212711,0.7648359215653985,5.774213257395416,3.6460116162896856,4.502566435790236,-0.11023605508661107,-0.3601036521184464,1.619741373376365,21477.710184552292,132.76023705712885,21844.219368831524,21478.12044497853,816.711742263913,2.0057888173678884,2.944921259870142,1.0170646303134696,1379.6514300184178,209726.5942963849,203.81099273550063,248.17782869617565,94.09111079623268,90.6689125280887,189992370.3249825,0.7462047352266329,0.7462047352266329,0.7462047352266329,F3-trytytka-01.CSV
4,3.546828511344605,0.7628471297044288,5.828745451421322,3.6279271616471798,4.814007290610989,-0.1264142704382371,-0.3826384505047886,1.643368274721475,21464.313055365674,136.31011958198158,21844.219368831524,21464.745818781215,816.7117422674091,1.3519303224109067,3.788702732190882,1.0176994396459793,1404.1413168167398,212349.46793905832,219.4507407122934,114.23897137835544,260.1096513936263,90.35466167420407,189848615.24321586,3.2599189802265305,3.2599189802265305,3.2599189802265305,F3-trytytka-01.CSV
5,3.514211219995067,0.7700540903862586,5.873117679089812,3.59758108705656,4.871284214110268,-0.14430933122487447,-0.2622426793032284,1.6712477740874254,21498.116883116887,148.68681685167815,21844.219368831524,21498.630991907125,441.6854909127178,1.679114016111073,0.8487918983259317,1.0160992001111708,1374.320163391688,209994.7130582807,209.90308782589668,147.4954612261085,140.08869699037186,102.00784737759041,192619674.925241,2.519510023314433,2.519510023314433,2.519510023314433,F3-trytytka-01.CSV
6,3.4769750791306944,0.7597636432050299,5.850122517681574,3.5590060886900554,4.831869718992266,-0.08972652185775229,-0.32873640976669183,1.6825321966771785,21535.38554564766,173.12786140634495,21844.219368831524,21536.081354541457,441.6854909127178,1.0125953957767815,-0.9500671375012999,1.014340761280045,1380.2376248982755,208407.1815689896,211.36255026106807,120.52800917528187,148.85532114439462,122.70015162061642,196566980.3681352,292.4643435507612,292.4643435507612,292.4643435507612,F3-trytytka-01.CSV
7,3.436261492619701,0.7583476234995503,5.500905227717,3.518936242295196,4.615505914640711,-0.17503223265332454,-0.2957365148622011,1.6008401105479542,21549.484584222453,179.51525654009313,21844.219368831524,21550.23219236294,441.6854909127178,0.8198159227224893,-1.3039303595346365,1.0136771152672888,1386.8373893271241,208980.97144583662,138.17688920105527,266.83131576153147,147.8466712562638,128.93775276024786,197648909.2838137,292.40849371718355,292.40849371718355,292.40849371718355,F3-trytytka-01.CSV
8,3.4449767028010174,0.7521505865236031,5.830873626589146,3.526120285999397,4.987533970623888,-0.12263082897036778,-0.25174574302796104,1.6925727311445156,21560.84415584417,183.71163795975693,21844.219368839036,21561.62671181782,441.68549092070316,0.6778545087804572,-1.5165623025961634,1.0131430481546362,1365.1508367046727,205070.6881924385,204.4195502981797,61.26713856739165,143.35149657434778,128.60466110756923,197750966.17618564,2.0679775795307194,2.0679775795307194,2.0679775795307194,F3-trytytka-01.CSV
9,3.4794516867051684,0.7702586648147025,5.7966222535951655,3.563679038372596,4.749125460259316,-0.10804695943151661,-0.3101953865226408,1.665958540463086,21525.42705653457,167.77620937531205,21844.219368839036,21526.080816163812,441.68549092070316,1.1635773851781526,-0.621410583942561,1.0148100342663209,1381.2907667907918,212319.2126945395,425.5461564606409,302.37667335965546,64.47035478684023,118.69140155790154,195396784.0238494,371.29077375995155,371.29077375995155,371.29077375995155,F3-trytytka-01.CSV
1,3.557531680636912,0.7617089862423417,5.988204327468218,3.638153338355211,5.049756966097321,-0.13151591043490543,-0.328858761440753,1.683246943396478,21491.298701298707,142.71678436828614,21844.219368831295,21491.772504913915,441.68549090886154,1.8447104631864235,1.4341655072974167,1.0164215607645557,1386.5696817457303,212747.06856421422,55.63840598168868,105.83904097746826,29.367054585523036,98.85446870061563,191775113.16683963,1.8056796141742661,1.8056796141742661,1.8056796141742661,F3-trytytka-02.CSV
