Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,2.9931550000000002,0.8359598212691931,5.600000000000001,3.107694000380346,5.360000000000003,-0.004506698902864366,-0.4538825169853409,1.8709355178732812,21975.934343434343,197.11662348217436,22222.22222222284,21976.818304790046,404.04040404654734,0.44916617802544706,-1.7982497445180061,1.0112071630238593,2821.7542066617602,471988.1394536814,622.2760422565968,427.0087245863707,273.7209392238634,324.78477377707196,416253606.8668584,962.3005218939128,962.3005218939128,962.3005218939128,F1-beztrytytki-01.CSV
2,2.983215,0.8528154077275327,5.52,3.1027117816516565,5.199999999999999,-0.01802342168561421,-0.4315857814466426,1.8503527234879147,21996.010101010117,200.5727484215598,22222.22222222284,21996.924495865536,404.04040404654734,0.241235914801493,-1.9418052334098999,1.0102842342849414,2779.9142623790235,483215.1821042323,370.1551512559476,463.50062097881204,513.3081695057699,340.8142936193483,417849597.7515636,2733.571929199598,2733.571929199598,2733.571929199598,F1-beztrytytki-01.CSV
3,2.98278,0.828962255022067,5.600000000000001,3.095821700292186,5.040000000000003,-0.012676204679058046,-0.48668071466443585,1.8774431905805997,22020.85858585857,202.02544849214377,22222.22222222284,22021.785227118322,404.04040404654734,-0.00650003432829123,-1.999957749553731,1.0091442227640295,2646.0319924034,426382.68124099093,54.637551287541,105.87062556755811,186.72937616001383,295.7464838158287,408678580.73789006,771.5288900328326,771.5288900328326,771.5288900328326,F1-beztrytytki-01.CSV
4,2.9729050000000004,0.84337697162643,5.84,3.0902110607529707,5.359999999999999,0.014503445816102705,-0.45992068695192545,1.9644085498863904,22017.676767676763,202.01073150957245,22222.222222230153,22018.60340782351,404.0404040538597,0.02500195335389638,-1.9993749023284888,1.0092900561994658,2793.6097846315392,470040.4396691085,263.5665312139348,286.7743010997442,367.74624253992624,340.7699779244033,418017612.35540974,1741.390579066887,1741.390579066887,1741.390579066887,F1-beztrytytki-01.CSV
5,2.96157,0.8406983456964701,5.600000000000001,3.078575384816815,5.200000000000003,0.0010067666186429104,-0.44447898186740087,1.8908889541695797,22026.691919191922,201.92224127583012,22222.222222230153,22027.617368799325,404.0404040538597,-0.06428317918519963,-1.9958676728738418,1.0088769708931131,2756.1061095315645,466053.4723945189,500.456204305759,232.0701890408401,23.118260338149327,345.9419466443618,418621389.4983359,2293.309809388065,2293.309809388065,2293.309809388065,F1-beztrytytki-01.CSV
6,2.956245,0.825851395157099,5.52,3.069425418543347,5.280000000000001,-0.030199057208628095,-0.4475122581287505,1.8672336020864304,22023.78787878785,201.9946874504771,22222.222222230153,22024.714114682283,404.0404040538597,-0.035505593681271645,-1.9987393528173423,1.0090100006653906,2660.059337669878,427605.4215231003,168.7893109467875,170.01114707401496,378.8904498053166,321.65595367943257,413868411.1137237,1211.0059960714102,1211.0059960714102,1211.0059960714102,F1-beztrytytki-01.CSV
7,2.96047,0.8165864650733198,5.760000000000002,3.071018462985854,5.440000000000001,-0.015611489390682359,-0.45873223974830646,1.9456370103395748,22039.646464646503,201.08854490633607,22222.222222230153,22040.563748738597,404.0404040538597,-0.19339790957224037,-1.9625972485730943,1.0082839694310213,2701.691023938076,433530.0200137669,74.61219443145569,397.7802708260247,273.39643106082224,329.0436038826954,415832460.47815883,574.7189997482025,574.7189997482025,574.7189997482025,F1-beztrytytki-01.CSV
8,2.94258,0.8108015978350972,5.52,3.052234460194695,5.599999999999998,-0.01654370596233473,-0.44701281856516406,1.875904818220745,22050.227272727254,199.7827340043041,22222.222222230153,22051.132248144535,404.0404040538597,-0.3005884468242374,-1.9096465856357971,1.007800144069972,2672.5528780520744,418191.47590576264,194.62500585690745,191.67426139516704,418.6035485028388,318.68975844698474,413045146.7714544,232.48842735865836,232.48842735865836,232.48842735865836,F1-beztrytytki-01.CSV
9,2.96444,0.8491778113768115,5.84,3.0836605520063327,5.440000000000001,0.01050993909930899,-0.45181164923139816,1.970017946053892,22051.59090909089,199.57301675169654,22222.222222230153,22052.493929748147,404.0404040538597,-0.3145702795752305,-1.9010455392079522,1.0077378232637593,2748.4028247472665,469247.194172759,409.06218866845444,245.00313779401864,513.5443534476176,333.3830550191806,419749243.29286486,360.9966907404415,360.9966907404415,360.9966907404415,F1-beztrytytki-01.CSV
1,2.90066,0.8270622203889934,5.68,3.0162588748315353,5.120000000000001,-0.025051507330440165,-0.4628127852381283,1.9581750360262837,22121.313131313127,174.90173569118073,22222.22222222284,22122.004505895045,404.0404040430258,-1.1562409095822233,-0.6631069590084242,1.004561623006316,2646.289887291237,448994.6858409211,114.96916959125227,383.1960150908668,373.9402452574151,269.4735774565574,410225125.5242342,0.3213413973518444,0.3213413973518444,0.3213413973518444,F1-beztrytytki-02.CSV
2,2.901885,0.8076022601585291,5.52,3.0121615494524856,5.359999999999999,-0.05238829354236566,-0.43643858115468426,1.9022118381672601,22130.85858585859,169.0238801720102,22222.22222222284,22131.503993939776,404.0404040430258,-1.309401058877155,-0.2854688670113119,1.0041283367299014,2645.6241047530966,429493.42449434544,242.0851964065273,68.18904450539404,298.5959495774391,260.63044010810165,407850552.30869657,4.1337240821769665,4.1337240821769665,4.1337240821769665,F1-beztrytytki-02.CSV
