Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,3.793835,0.9985667297404888,6.8,3.9230418300089536,6.240000000000001,-0.09399169426052939,-0.3073644286474484,1.7923815874965567,21186.348684210523,179.9759669071266,21428.57142857379,21187.11306179192,375.9398496265603,0.602908443403092,-1.6365014088732177,1.0114329631770753,2547.262139622175,592690.3959092912,178.49843020468074,425.76904452284384,95.11661773431875,305.5983697941572,397571130.2958296,1867.6446169795086,1867.6446169795086,1867.6446169795086,F3-beztrytytki-01.CSV
2,3.76048,0.9802680385686442,6.719999999999999,3.886138854956163,6.239999999999998,-0.10422536711924243,-0.31772364519523366,1.78700591413862,21185.079077002847,182.2293153963809,21428.57142857379,21185.86276144503,738.9162561593002,0.5311545510163691,-1.4923979890564947,1.011493577658403,2600.404648742272,586370.3884242438,209.1612499902718,294.0131343441416,505.7774792516351,296.51745148574537,395898461.9633006,1322.4260750351257,1322.4260750351257,1322.4260750351257,F3-beztrytytki-01.CSV
3,3.608225,0.9629618400248713,6.56,3.734504679338346,6.160000000000001,-0.12564489127076553,-0.3130719137855511,1.818068440853882,21233.035714285696,187.82347115524286,21428.57142857379,21233.866371803208,375.9398496298418,0.08056528685296185,-1.993509234554302,1.0092090324209524,2560.523191776465,552513.8916601313,758.5468300843115,153.86481595966129,299.7693137857158,327.7922418251375,399716579.38434565,3211.1551789650575,3211.1551789650575,3211.1551789650575,F3-beztrytytki-01.CSV
4,3.61546,0.956974307852158,6.480000000000001,3.7399590372088305,5.920000000000003,-0.13571079710784686,-0.3362022277531378,1.7923030541065317,21242.786654135343,187.9630971347504,21428.57142857379,21243.618165248176,375.9398496298418,-0.02325157116898975,-1.999459364438173,1.008745781684075,2574.926733376465,560238.8577471955,45.2400881568025,510.54316899021956,544.3459071373471,323.0766156516565,400212588.0065547,2708.9553693930575,2708.9553693930575,2708.9553693930575,F3-beztrytytki-01.CSV
5,3.65063,0.971145894483303,6.480000000000001,3.7775871664330922,6.000000000000001,-0.11973616374240877,-0.31318785218694867,1.775036089661237,21253.383458646626,187.54069553736423,21428.57142857379,21254.210824082296,375.9398496298418,-0.136315526669139,-1.9814180771889172,1.0082428273252602,2594.649907205354,568542.4876081338,450.6139759560296,280.7453784746262,145.3005254357472,322.2251615872609,401451883.82283556,1344.5913615852057,1344.5913615852057,1344.5913615852057,F3-beztrytytki-01.CSV
6,3.6266950000000002,0.9430436682280449,6.719999999999999,3.747291341756069,6.32,-0.13030946260145718,-0.32335643662875935,1.8529267004807406,21261.607142857127,186.79838492897912,21428.57142857379,21262.42765426735,375.9398496298418,-0.2249087492130185,-1.9494160545274375,1.0078528534835032,2584.6590653397197,545356.3764404049,850.2456782109409,405.2381806186344,190.36776123429246,312.549009279381,399767521.8660499,1466.1440768308523,1466.1440768308523,1466.1440768308523,F3-beztrytytki-01.CSV
7,3.61363,0.9534349678871006,6.399999999999999,3.737285538997522,6.0,-0.12133444131586801,-0.27557276788898655,1.7710723012593983,21260.361842105274,186.9342282401108,21428.571428580584,21261.18359543768,375.9398496366375,-0.2114214830686034,-1.9553009564970705,1.0079118872822843,2591.1250197772265,559736.3521641899,418.280258815326,229.23626194004734,92.10891910777518,323.52863790745124,400292586.8111011,4138.327499092134,4138.327499092134,4138.327499092134,F3-beztrytytki-01.CSV
8,3.6219,0.9568874631329813,6.719999999999999,3.7461628368238347,6.16,-0.12961513794986346,-0.3256787066934206,1.8553797730472954,21221.6635338346,187.01933574782151,21428.571428580584,21222.487535376582,375.9398496366375,0.20253052111872166,-1.9589813880153817,1.0097498433341996,2616.723595742937,563127.1346237363,434.7760360061472,124.13252580570845,539.8652371912755,317.11717633866516,400365301.2919823,1182.4343223095543,1182.4343223095543,1182.4343223095543,F3-beztrytytki-01.CSV
9,3.56452,0.960556732539662,6.480000000000001,3.691668240782208,6.080000000000003,-0.11042648567331137,-0.3133306022657343,1.817916577828151,21285.71428571427,182.48180940551532,21428.571428580584,21286.496428078503,375.9398496366375,-0.4944513860581851,-1.7555178268251355,1.006711409396404,2581.674896683899,565103.651835818,775.5777158885148,397.9304462992407,202.9527949534689,306.72622764496936,399865079.6897704,192.43728987426243,192.43728987426243,192.43728987426243,F3-beztrytytki-01.CSV
1,3.69117,0.9540038332245379,6.56,3.812453593160184,5.919999999999999,-0.13598680024525225,-0.32834165293664563,1.777214270813861,21227.04417293233,187.48623511532728,21428.57142857379,21227.872083914463,375.9398496265603,0.1446266655807682,-1.9790831276029812,1.009493891565856,2575.5232767743364,558340.0338841535,394.25724433197223,619.7473245350781,292.72678668680237,321.7073189652907,400581093.90366757,2478.956574682641,2478.956574682641,2478.956574682641,F3-beztrytytki-02.CSV
